referenceTime,air_temperature,dew_point_temperature,relative_humidity,wind_speed
2019-10-01 00:00:00,7.8,-2.7,47.0,8.4
2019-10-01 00:10:00,7.8,-2.7,48.0,9.0
2019-10-01 00:20:00,7.6,-3.0,47.0,8.7
2019-10-01 00:30:00,7.8,-2.5,48.0,8.2
2019-10-01 00:40:00,7.8,-3.1,46.0,8.7
2019-10-01 00:50:00,7.9,-3.0,46.0,7.8
2019-10-01 01:00:00,7.7,-3.5,45.0,7.1
2019-10-01 01:10:00,8.0,-3.1,46.0,9.1
2019-10-01 01:20:00,8.0,-2.6,47.0,7.9
2019-10-01 01:30:00,8.1,-3.1,45.0,7.9
2019-10-01 01:40:00,8.0,-2.1,49.0,6.6
2019-10-01 01:50:00,8.5,-2.7,45.0,6.6
2019-10-01 02:00:00,8.4,-2.2,47.0,6.9
2019-10-01 02:10:00,8.5,-1.4,50.0,6.9
2019-10-01 02:20:00,8.5,-1.5,50.0,7.7
2019-10-01 02:30:00,8.3,-1.9,49.0,8.0
2019-10-01 02:40:00,8.3,-2.1,48.0,6.2
2019-10-01 02:50:00,8.3,-2.4,47.0,5.9
2019-10-01 03:00:00,8.3,-2.5,47.0,6.9
2019-10-01 03:10:00,8.5,-2.1,47.0,7.6
2019-10-01 03:20:00,8.3,-2.0,48.0,7.2
2019-10-01 03:30:00,8.3,-2.3,47.0,5.8
2019-10-01 03:40:00,8.2,-2.4,47.0,7.3
2019-10-01 03:50:00,8.1,-2.2,49.0,6.9
2019-10-01 04:00:00,8.4,-1.7,49.0,7.1
2019-10-01 04:10:00,8.3,-1.4,50.0,6.6
2019-10-01 04:20:00,8.3,-1.6,50.0,6.2
2019-10-01 04:30:00,8.2,-1.9,49.0,4.7
2019-10-01 04:40:00,8.3,-1.8,49.0,4.5
2019-10-01 04:50:00,8.2,-1.8,49.0,4.1
2019-10-01 05:00:00,8.0,-1.5,51.0,3.7
2019-10-01 05:10:00,7.8,-2.2,49.0,3.3
2019-10-01 05:20:00,7.6,-2.0,51.0,1.8
2019-10-01 05:30:00,7.3,-2.4,50.0,1.6
2019-10-01 05:40:00,7.1,-2.4,51.0,1.6
2019-10-01 05:50:00,7.2,-2.0,52.0,1.9
2019-10-01 06:00:00,7.5,-0.1,59.0,2.5
2019-10-01 06:10:00,7.1,-0.7,57.0,2.1
2019-10-01 06:20:00,7.4,-0.2,59.0,2.1
2019-10-01 06:30:00,7.5,-0.9,55.0,2.1
2019-10-01 06:40:00,7.6,-1.5,53.0,1.3
2019-10-01 06:50:00,7.4,-0.5,57.0,1.0
2019-10-01 07:00:00,8.0,-0.7,54.0,1.7
2019-10-01 07:10:00,7.9,-1.2,52.0,0.6
2019-10-01 07:20:00,7.9,-1.2,53.0,1.8
2019-10-01 07:30:00,8.1,-1.7,50.0,2.1
2019-10-01 07:40:00,8.3,-0.7,53.0,3.6
2019-10-01 07:50:00,8.3,-0.6,53.0,4.5
2019-10-01 08:00:00,8.2,0.4,58.0,4.4
2019-10-01 08:10:00,8.4,-0.7,53.0,5.0
2019-10-01 08:20:00,8.6,-0.8,52.0,6.3
2019-10-01 08:30:00,8.6,0.4,56.0,6.2
2019-10-01 08:40:00,8.7,0.0,55.0,5.8
2019-10-01 08:50:00,9.1,-0.6,51.0,5.2
2019-10-01 09:00:00,9.4,-2.0,45.0,4.6
2019-10-01 09:10:00,9.4,-1.1,48.0,3.9
2019-10-01 09:20:00,9.4,-0.1,52.0,3.7
2019-10-01 09:30:00,9.7,-2.5,42.0,3.6
2019-10-01 09:40:00,9.6,-1.7,45.0,3.9
2019-10-01 09:50:00,9.7,-2.2,44.0,4.1
2019-10-01 10:00:00,9.7,-1.1,47.0,4.9
2019-10-01 10:10:00,9.8,-1.1,47.0,5.4
2019-10-01 10:20:00,9.7,-1.2,47.0,5.3
2019-10-01 10:30:00,9.8,-1.5,45.0,5.6
2019-10-01 10:40:00,9.8,-1.9,44.0,4.7
2019-10-01 10:50:00,9.9,-1.2,46.0,4.6
2019-10-01 11:00:00,9.7,-2.4,43.0,3.7
2019-10-01 11:10:00,9.8,-2.6,42.0,3.7
2019-10-01 11:20:00,9.5,-1.4,47.0,3.8
2019-10-01 11:30:00,9.6,-2.9,41.0,3.5
2019-10-01 11:40:00,9.6,-2.4,43.0,3.2
2019-10-01 11:50:00,9.5,-2.5,43.0,2.4
2019-10-01 12:00:00,9.5,-1.5,46.0,2.9
2019-10-01 12:10:00,9.7,-2.4,43.0,3.6
2019-10-01 12:20:00,9.8,-2.8,41.0,4.0
2019-10-01 12:30:00,9.8,-2.0,44.0,4.7
2019-10-01 12:40:00,9.7,-2.3,43.0,3.9
2019-10-01 12:50:00,9.8,-1.2,46.0,3.5
2019-10-01 13:00:00,9.9,-2.0,43.0,3.3
2019-10-01 13:10:00,9.7,-2.0,44.0,3.1
2019-10-01 13:20:00,9.9,-2.3,43.0,3.0
2019-10-01 13:30:00,9.8,-2.2,43.0,3.3
2019-10-01 13:40:00,10.1,-1.4,45.0,4.5
2019-10-01 13:50:00,10.1,-2.4,42.0,5.1
2019-10-01 14:00:00,10.4,-2.5,41.0,5.2
2019-10-01 14:10:00,10.3,-2.7,40.0,4.9
2019-10-01 14:20:00,10.0,-1.9,43.0,4.7
2019-10-01 14:30:00,10.1,-2.1,43.0,5.4
2019-10-01 14:40:00,10.2,-1.1,45.0,4.7
2019-10-01 14:50:00,10.2,-2.5,41.0,5.7
